,Unnamed: 0,place_id,name,name2,neighbhood,neighbhood2,nameAr,lat,lng,types,rating,user_ratings_total,rated1,rated2,rated3,rated4,rated5,delivery,dine_in,isLoved,schoolNum,companieNum,officeNum,HotelNum,parksNum,revenues,FemaleNonSaudi,MaleNonSaudi,FemaleSaudi,MaleSaudi,total_labor,Teens,20s,30s,40s,50s,60s,CompNum,isSuccessful
57,57,ChIJBb4VoLEFLz4RxmSdiixv-qE,مطاعم الماس,مطاعم الماس,Thulaim,thulaim,ثليم,24.6407679,46.7212244,Restaurants,4,255,85,0,0,85,85,True,True,1,20,20,20,18,14,119370,5420,19512,1842,2980,17561,3691,6331,7627,4368,2206,897,22,1
58,58,ChIJVaGsMbcFLz4RwJ0JB18HNgg,Welcome Cafe,Welcome Cafe,Thulaim,thulaim,ثليم,24.6396485,46.7240636,Restaurants,4,58,0,9,0,48,0,True,True,1,20,20,20,18,12,104504,5420,19512,1842,2980,17561,3691,6331,7627,4368,2206,897,22,1
59,59,ChIJp2i9WTwFLz4RT_kNmZ94jSg,Lavanya Family Restaurant,Lavanya Family Restaurant,Thulaim,thulaim,ثليم,24.6404568,46.718666,Restaurants,3,7,0,0,1,5,0,True,True,1,20,20,20,17,14,125877,5420,19512,1842,2980,17561,3691,6331,7627,4368,2206,897,25,1
60,60,ChIJX4EaUaEFLz4Rf3YLxl4DGcg,Tikka Masala Restaurant Riyadh,Tikka Masala Restaurant Riyadh,Al Wazarat,al wazarat,الوزارات,24.669027,46.7088246,Restaurants,3,297,111,0,37,74,74,True,True,0,20,17,16,20,11,166550,15924,37457,9427,13865,45254,9513,16316,19655,11257,5684,2313,23,1
61,61,ChIJpbQzk4YFLz4RnfLIL-PEJIQ,Mayer Dua Restaurant ,Mayer Dua Restaurant ,Al Wazarat,al wazarat,الوزارات,24.6702224,46.7092342,Restaurants,5,7,0,0,0,0,7,True,True,1,20,17,15,20,11,161000,15924,37457,9427,13865,45254,9513,16316,19655,11257,5684,2313,24,1
62,62,ChIJedTPklwFLz4RwospLLgeYZQ,Sonar Bangla Restaurant,Sonar Bangla Restaurant,Al Wazarat,al wazarat,الوزارات,24.6709612,46.7104385,Restaurants,4,93,31,0,31,0,31,True,True,0,20,19,14,20,11,165842,15924,37457,9427,13865,45254,9513,16316,19655,11257,5684,2313,25,1
63,63,ChIJQ8doLKgFLz4RtSc8zFDUESM,Shapla Restaurant,Shapla Restaurant,Al Wazarat,al wazarat,الوزارات,24.6711909,46.7107913,Restaurants,4,52,10,0,0,20,20,True,True,1,20,20,18,20,12,165842,15924,37457,9427,13865,45254,9513,16316,19655,11257,5684,2313,24,1
64,64,ChIJgSxbj4cELz4R4bsJrpDPEEs,Janata Restaurant,Janata Restaurant,Al Wazarat,al wazarat,الوزارات,24.6723542,46.7088859,Restaurants,3,49,0,0,29,0,19,True,True,1,20,19,16,20,12,162772,15924,37457,9427,13865,45254,9513,16316,19655,11257,5684,2313,24,1
65,65,ChIJs7fPgeIFLz4RSH-X6qsVyUU,Taj Restaurant,Taj Restaurant,Al Wazarat,al wazarat,الوزارات,24.6680857,46.7117384,Restaurants,3,217,31,0,0,93,93,True,True,1,20,17,20,20,10,159550,15924,37457,9427,13865,45254,9513,16316,19655,11257,5684,2313,24,1
66,66,ChIJM4eay2MELz4R3poMfQ1zZLs,Rida Family Restaurant,Rida Family Restaurant,Al Wazarat,al wazarat,الوزارات,24.6677608,46.7117472,Restaurants,3,619,154,154,0,77,232,False,True,1,20,17,20,20,10,159550,15924,37457,9427,13865,45254,9513,16316,19655,11257,5684,2313,24,1
67,67,ChIJtdIZ8GMELz4RhqoZ_NItd1E,Alishan Restaurant,Alishan Restaurant,Al Wazarat,al wazarat,الوزارات,24.6687288,46.7132758,Restaurants,3,174,29,0,29,58,58,False,True,1,20,20,20,20,11,165315,15924,37457,9427,13865,45254,9513,16316,19655,11257,5684,2313,25,1
68,68,ChIJS8USMp4FLz4RzDzc8apxMBU,Spice Master Family Restaurant,Spice Master Family Restaurant,Al Wazarat,al wazarat,الوزارات,24.6672335,46.7122638,Restaurants,4,804,0,0,0,201,603,True,True,0,20,18,20,20,10,159550,15924,37457,9427,13865,45254,9513,16316,19655,11257,5684,2313,23,1
69,69,ChIJUwcFkM4FLz4RN3sqR_7Kswc,Tripti Restaurant,TRIPTI RESTAURANT,Al Wazarat,al wazarat,الوزارات,24.6711409,46.7148093,Restaurants,4,25,0,0,0,15,9,True,True,0,20,20,20,20,10,115800,15924,37457,9427,13865,45254,9513,16316,19655,11257,5684,2313,25,1
70,70,ChIJW20BISUFLz4RtF9809-b1Kw,Mumtaz Food Court,Mumtaz Food Court,Al Wazarat,al wazarat,الوزارات,24.6678864,46.7117444,Restaurants,3,152,0,25,76,0,50,True,True,0,20,16,20,20,10,159550,15924,37457,9427,13865,45254,9513,16316,19655,11257,5684,2313,24,1
71,71,ChIJVTmccGMELz4RJ26Z6fTUgP0,مطعم الفا,مطعم الفا,Al Wazarat,al wazarat,الوزارات,24.6702842,46.7133224,Restaurants,3,760,217,0,0,325,217,False,True,1,20,20,20,20,10,166631,15924,37457,9427,13865,45254,9513,16316,19655,11257,5684,2313,24,1
72,72,ChIJgXhYXmEELz4RX-zgQ-hXQzU,Gharwa Restaurant ,Gharwa Restaurant ,Al Wazarat,al wazarat,الوزارات,24.6672177,46.7129529,Restaurants,4,286,95,47,0,0,143,True,True,0,20,20,20,20,10,165315,15924,37457,9427,13865,45254,9513,16316,19655,11257,5684,2313,24,1
73,73,ChIJ-eOIxmMELz4RVqkvGa80cuo,مطعم ديلهي Delhi Resturant,مطعم ديلهي Delhi Resturant,Al Wazarat,al wazarat,الوزارات,24.6680184,46.7122544,Restaurants,3,1136,0,162,324,0,649,True,True,1,20,20,20,20,10,159550,15924,37457,9427,13865,45254,9513,16316,19655,11257,5684,2313,24,1
74,74,ChIJJfUu1HwELz4RenBnDAsPXc0,Rahmania Restaurant,Rahmania Restaurant,Al Wazarat,al wazarat,الوزارات,24.6719353,46.7117531,Restaurants,4,64,12,0,12,25,12,True,True,0,20,20,20,20,12,162666,15924,37457,9427,13865,45254,9513,16316,19655,11257,5684,2313,23,1
75,75,ChIJqdRMHb4FLz4Rrwvb5g4JgjE,Moonlight Café,Moonlight café,Al Wazarat,al wazarat,الوزارات,24.6737312,46.7121221,Restaurants,3,591,84,0,168,168,168,True,True,1,20,20,20,20,13,166636,15924,37457,9427,13865,45254,9513,16316,19655,11257,5684,2313,21,1
76,76,ChIJ0UmauYUDLz4R2dUVX5q6uAA,محمصة بير كب - قهوة مختصة,محمصة بير كب - قهوة مختصة,Al Wazarat,al wazarat,الوزارات,24.674219,46.7137154,Coffee,4,590,0,0,0,0,590,True,True,1,20,20,20,20,12,145592,15924,37457,9427,13865,45254,9513,16316,19655,11257,5684,2313,21,1
77,77,ChIJ05i7JqEFLz4RcQDRcx0VCNM,ثنكنج قهوة مختصة,ثنكنج قهوة مختصة,Al Wazarat,al wazarat,الوزارات,24.6742196,46.7143491,Coffee,4,44,0,0,0,5,38,True,True,1,20,20,20,20,12,124285,15924,37457,9427,13865,45254,9513,16316,19655,11257,5684,2313,21,1
