,nameAr,neighbhood,nameEn,cityId,neCoordinates,swCoordinates
1951,الحزم,Al Hazm,al hazm,1248,"21.91633892,42.02587948","21.90631943,42.01596115"
1952,النزهة,An Nuzha,an nuzha,1248,"21.91988541,42.03574139","21.90320262,42.02283761"
1953,الحديقة,Al Hadiqah,al hadiqah,1248,"21.91600186,42.03545832","21.91065565,42.02968101"
1954,الفيصلية,Al Faisaliyah,al faisaliyah,1248,"21.92243945,42.03582625","21.91467152,42.02633625"
1955,المحمدية,Al Muhammadiyah,al muhammadiyah,1248,"21.93788897,42.03493006","21.92243945,42.02259087"
1956,السوق القديم,As Suq Al Qadim,as suq al qadim,1248,"21.91471708,42.04531619","21.90179610,42.03139546"
1957,الحارثية,Al Harthiyah,al harthiyah,1248,"21.90641217,42.04382871","21.89697526,42.03013189"
1958,الهجرة,Al Hijrah,al hijrah,1248,"21.90367505,42.04256651","21.88995475,42.02116234"
1959,الدغمية,Ad Daghmiyah,ad daghmiyah,1248,"21.97042573,42.06138870","21.95863424,42.04838575"
1960,الرفاع,Ar Rifaa,ar rifaa,89,"27.56303217,47.71666032","27.55547168,47.70829989"
1961,الربوة,Ar Rabwah,ar rabwah,89,"27.56946705,47.71313411","27.56108165,47.70455237"
1962,الواحة,Al Wahah,al wahah,89,"27.55874730,47.71415066","27.55225499,47.70670767"
1963,غرناطة,Ghirnatah,ghirnatah,89,"27.56199592,47.71073256","27.55557698,47.70327266"
1964,الزهور,Az Zuhur,az zuhur,89,"27.56510189,47.70744600","27.55894095,47.70057651"
1965,الروضة,Ar Rawdah,ar rawdah,89,"27.57015212,47.70455237","27.56070844,47.69727753"
1966,الربيع,Ar Rabi,ar rabi,89,"27.57198421,47.70839769","27.56510189,47.70208259"
1967,قصر عالي,Qasr Aali,qasr aali,89,"27.56185064,47.70673284","27.55231646,47.69516555"
1968,قرطبة,Qurtubah,qurtubah,89,"27.55555173,47.71019006","27.54446692,47.69368730"
1969,الاندلس,Al Andalus,al andalus,89,"27.56514334,47.69899210","27.55530831,47.68599991"
1970,الخالدية,Al Khaldiyah,al khaldiyah,89,"27.55177420,47.70068876","27.54143904,47.69120943"
1971,الصناعيه,As Sinaiyah,as sinaiyah,89,"27.56214333,47.69044908","27.55242356,47.67118632"
1972,السلام,As Salam,as salam,89,"27.55530831,47.69368730","27.54712174,47.68429716"
1973,النزهة,An Nuzha,an nuzha,89,"27.58934517,47.72262916","27.56946705,47.70028247"
1974,المروج,Al Muruj,al muruj,89,"27.55825805,47.69844716","27.55177420,47.69044908"
1975,الصناعية,As Sinaiyah,as sinaiyah,115,"27.47008372,48.49849145","27.45938010,48.48080529"
1976,التشاليح,At Tashalih,at tashalih,115,"27.46380409,48.50681132","27.45632705,48.49641560"
1977,الربيع,Ar Rabi,ar rabi,115,"27.48971802,48.52494612","27.46779241,48.49700922"
1978,العزيزية,Al Aziziyah,al aziziyah,115,"27.47825258,48.50671646","27.46191636,48.48587478"
1979,الخليج,Al Khalij,al khalij,115,"27.48121147,48.53757230","27.45655942,48.50661582"
1980,المحمدية,Al Muhammadiyah,al muhammadiyah,115,"27.48079538,48.49272957","27.46483882,48.47645681"
1981,الفيصلية,Al Faisaliyah,al faisaliyah,115,"27.48121638,48.48273399","27.46484420,48.46247314"
1982,العدل,Al Adl,al adl,6,"21.46097480,39.89831915","21.42932454,39.85566210"
1983,الروضة,Ar Rawdah,ar rawdah,6,"21.43243473,39.86531641","21.42171380,39.83419594"
1984,المعابدة,Al Maabdah,al maabdah,6,"21.44148993,39.86162028","21.42908803,39.83542319"
1985,الخنساء,Al Khansa,al khansa,6,"21.45627545,39.85566210","21.43806171,39.83943861"
1986,السليمانية,As Sulimaniyah,as sulimaniyah,6,"21.43537423,39.83918265","21.42874403,39.82763486"
1987,الجميزة,Al Jummayzah,al jummayzah,6,"21.44359634,39.84013757","21.43232805,39.82842192"
1988,جبل النور,Jabal An Nur,jabal an nur,6,"21.47511120,39.89627704","21.43823182,39.84824187"
1989,الهنداوية,Al Hindawiyah,al hindawiyah,6,"21.42449287,39.80876149","21.40841419,39.79134033"
1990,الرصيفة,Ar Rusayfah,ar rusayfah,6,"21.42456855,39.79974728","21.39834204,39.78080658"
1991,جرهم,Jarham,jarham,6,"21.41164716,39.82189061","21.39803320,39.80876149"
1992,الخالدية,Al Khalidiyah,al khalidiyah,6,"21.41096492,39.81109652","21.39426513,39.78856319"
1993,المسفلة,Al Misfalah,al misfalah,6,"21.41105479,39.82899317","21.39723857,39.81707762"
1994,التقوى,At Taqwa,at taqwa,6,"21.40265190,39.82761353","21.38526484,39.81052103"
1995,كدي,Kudy,kudy,6,"21.41612827,39.85331576","21.38369079,39.82633725"
1996,القرارة والنقا,Al Qararah And An Naqa,al qararah and an naqa,6,"21.43270119,39.82943641","21.42499861,39.82311411"
1997,الحرم,Al Haram,al haram,6,"21.42557172,39.82906396","21.42022987,39.82460317"
1998,حارة الباب والشامية,Harat Al Bab And Ash Shamiyah,harat al bab and ash shamiyah,6,"21.42766772,39.82690232","21.42167767,39.82009414"
1999,التيسير,At Taysir,at taysir,6,"21.43397421,39.81716732","21.42282577,39.80744213"
2000,جرول,Jarwal,jarwal,6,"21.43516981,39.82420166","21.42344195,39.81496450"
2001,المشاعر,Al Mashair,al mashair,6,"21.45805411,40.01374674","21.32586942,39.86074679"
2002,المرسلات,Al Mursalat,al mursalat,6,"21.42165897,39.89842782","21.39111088,39.86596837"
2003,العزيزية,Al Aziziyah,al aziziyah,6,"21.42710849,39.86939052","21.40322012,39.84215519"
2004,الجامعة,Al Jamiah,al jamiah,6,"21.41048534,39.89783873","21.38372328,39.85970569"
2005,النسيم,An Nasim,an nasim,6,"21.40644009,39.89649835","21.35751836,39.85054976"
2006,الزهراء,Az Zahra,az zahra,6,"21.43321619,39.80771812","21.42203931,39.79007981"
2007,الضيافة,Ad Diyafah,ad diyafah,6,"21.44074343,39.80744213","21.43184529,39.79089101"
2008,البيبان,Al Bibyan,al bibyan,6,"21.44128859,39.81230333","21.43153846,39.80516284"
2009,الحجون,Al Hujun,al hujun,6,"21.44140380,39.82886322","21.43127050,39.81051944"
2010,الطندباوي,At Tandabawi,at tandabawi,6,"21.42403897,39.81909105","21.41092883,39.81050869"
2011,الشبيكة,Ash Shubaikah,ash shubaikah,6,"21.42377305,39.82371631","21.41105479,39.81753832"
2012,الهجلة,Al Hajlah,al hajlah,6,"21.42206566,39.82891029","21.41104646,39.82189061"
2013,المنصور,Al Mansur,al mansur,6,"21.42399679,39.81474057","21.41096492,39.80767658"
2014,الكعكية,Al Kakiyah,al kakiyah,6,"21.39426513,39.82702457","21.36362895,39.80432229"
