,place_id,name,types,price_level,rating,user_ratings_total,lat,lng,place,neighbhood,city,provinces,opeining_days,delivery,dine_in,schoolNum,companieNum,officeNum,HotelNum,parksNum,isLoved,rated1,rated2,rated3,rated4,rated5
1062,ChIJ2Rm63PnjLj4RX1d4oNVbX4Y,زودياك كوزين,Restaurants,,3.9,139,24.7675916,46.60110820000001,الأول،,الرياض,امارة منطقة الرياض,منطقة الرياض,7.0,False,True,11.0,14.0,9.0,3.0,3.0,0,1,1,0,4,2
1063,ChIJbcya1jXiLj4REdKzFOaALG4,لو غورنييه ابان,Restaurants,3.0,4.3,4050,24.7547645,46.61048410000001,Turky Alawal,حطين,الرياض,امارة منطقة الرياض,7.0,True,True,10.0,16.0,9.0,5.0,3.0,0,0,0,0,4,6
1064,ChIJI3h5VFoDLz4Rm4NMXC9LNuI,Place de L'etoile,Restaurants,,3.5,17,24.7662201,46.6032096,حطين,الرياض,امارة منطقة الرياض,منطقة الرياض,7.0,True,True,11.0,20.0,8.0,3.0,2.0,1,1,2,2,0,2
1065,ChIJKwUotb4dLz4RPkckx4MyKrM,Meat it | ميت ات,Restaurants,,4.8,201,24.7600868,46.60345909999999,حطين,الرياض,امارة منطقة الرياض,منطقة الرياض,7.0,True,True,10.0,17.0,7.0,2.0,2.0,1,1,1,0,1,7
1066,ChIJSznBUVHlLj4R2bJXicZYOhA,ذي تيبل,Restaurants,2.0,4.3,2391,24.8056298,46.61028,الرياض,امارة منطقة الرياض,منطقة الرياض,السعودية,7.0,True,True,20.0,20.0,20.0,20.0,4.0,0,0,0,0,2,6
1067,ChIJx-3p4JXjLj4Ru6lJUXDqE8c,سبا,Restaurants,,2.7,20,24.7910933,46.6120921,الملقا,الرياض,امارة منطقة الرياض,منطقة الرياض,7.0,True,True,20.0,20.0,12.0,18.0,7.0,1,5,0,0,2,1
1068,ChIJi7DL8SzlLj4R3JLZoY72DEU,Restaurant,Restaurants,,1.8,5,24.8111496,46.5991156,الملقا,الرياض,امارة منطقة الرياض,منطقة الرياض,7.0,True,True,13.0,20.0,14.0,9.0,3.0,1,2,0,0,0,0
1069,ChIJ42FqCw3kLj4RJVCwZAXmTTQ,سبرد,Restaurants,,4.2,2356,24.8056667,46.6106866,الملقا,الرياض,امارة منطقة الرياض,منطقة الرياض,7.0,True,True,20.0,20.0,20.0,20.0,4.0,1,1,1,2,1,5
1070,ChIJH8ufv-PjLj4RpCIlZgp4cFY,مطعم فتيلة,Restaurants,2.0,4.4,1752,24.7868835,46.6132767,الملقا,امارة منطقة الرياض,منطقة الرياض,السعودية,7.0,True,True,20.0,20.0,12.0,15.0,9.0,1,0,1,1,3,4
1071,ChIJ2yyFdSLlLj4RrIwjqBCSl8w,Chapati ghofran,Restaurants,,4.2,139,24.8105298,46.6010639,الملقا,الرياض,امارة منطقة الرياض,منطقة الرياض,7.0,True,True,15.0,20.0,20.0,11.0,3.0,1,1,0,2,2,3
