,place_id,isLoved,rated1,rated2,rated3,rated4,rated5
244,ChIJ38Wo2hLjLj4RhUcLtntN-mg,1,2,0,0,0,6
245,ChIJ3Q6gBqf9Lj4R1GnVE5fcLBE,1,0,0,1,2,5
246,ChIJ3QJ9Asf_Lj4RnA2mUBvpYx8,1,2,0,1,2,4
247,ChIJ3QVrhOQFLz4Rh0430c7UpQQ,1,1,0,1,1,5
248,ChIJ3Qj-bfj9Lj4Ruxcn8YpELNg,1,4,0,0,0,0
249,ChIJ3R1KGeGhNT4REykkOS9IctI,1,2,0,0,0,4
250,ChIJ3RpCi8kJLz4Rxpdq0Bvnf3Y,1,2,1,0,1,1
251,ChIJ3UA5pgMTLz4RMN8VNQEX4SQ,1,3,1,0,0,3
252,ChIJ3V4ot3cDLz4RMLIls6thzcQ,1,0,1,1,2,5
253,ChIJ3VRgxKz_ST4RrVsfHYz88h8,1,0,0,0,0,6
254,ChIJ3WilWtwdNj4RDiXqyNCEzl8,1,3,1,1,0,2
255,ChIJ3X_X69zlST4RkGZf8cihmv8,0,0,0,0,0,3
256,ChIJ3Ye4T8kjLz4RN66Sh5Y8fyw,0,0,1,2,0,4
257,ChIJ3ZKRszzjST4R8awWMWHSZ-Q,0,1,0,0,2,3
258,ChIJ3ZfgOg4BLz4ROwbcmn6h3vs,0,3,0,0,0,5
259,ChIJ3ZkDZ-gGLz4R1_IIdGqbS6M,0,2,0,2,2,2
260,ChIJ3Zuucc4DLz4RuoVTlDPGJ3Q,0,1,0,0,0,8
261,ChIJ3_BiD_ShNT4R4AC6PUMrQ3I,0,0,0,2,0,3
262,ChIJ3_FuQbcbLz4RV7-F9dA83CU,0,0,0,3,0,3
263,ChIJ3cj-GRGrLz4Rlb_4ugu-yTc,0,0,0,0,2,3
264,ChIJ3drpU5rkLj4RJblrEO-o1SI,0,1,0,1,2,4
265,ChIJ3eLgurb7ST4R9eiBCQKyr0o,0,0,0,0,2,4
266,ChIJ3fhRfUPbST4RxP5Isy4jcLI,0,0,0,0,0,7
267,ChIJ3w68hQ8dLz4ROHkt0dzOwK0,0,1,0,0,2,3
268,ChIJ3whRiecdLz4RVFCIabZePeg,0,1,1,0,0,4
269,ChIJ3xggP8vpST4RhNacQYldLeE,1,1,0,0,0,5
270,ChIJ3yWsDznlST4RHqQhSLzTNpg,1,1,0,0,3,1
271,ChIJ3yjBJQbjLj4R-fYdSeDHbXk,1,2,0,0,1,6
272,ChIJ3ys1T3IFLz4RlXvUIiZ3MbY,1,0,0,0,2,2
273,ChIJ3zbA8bblLj4RrHJ7Syt0TRE,1,2,0,0,1,4
274,ChIJ4-doMGMDNj4RnUI-VfJ6WNk,1,5,1,0,0,2
275,ChIJ4-h7Z3sBLz4RPgvcJb945zc,1,3,0,0,1,3
276,ChIJ4-iJs73jST4RSKm2NI6uCK8,1,5,0,0,0,2
277,ChIJ4-mF_gXjLj4RaGVgsi_75kc,1,2,0,0,1,2
278,ChIJ4-qxEi4dLz4Rdf5Rp3iCQ78,1,2,0,1,2,5
279,ChIJ403WVTerLz4R87pCOUIU9YA,0,1,0,0,0,3
280,ChIJ41H4zfr9ST4RA8vtdQpy0TQ,0,1,0,1,1,6
281,ChIJ42FqCw3kLj4RJVCwZAXmTTQ,1,1,1,2,1,5
282,ChIJ440fl2fDST4R9XKP8kdnJ18,1,4,0,0,0,3
283,ChIJ44J2NBUFLz4RY1uCBIBEwJg,1,1,1,0,0,7
284,ChIJ44S4lWT9Lj4RMeAV3Ycsk_M,1,1,0,2,0,5
285,ChIJ44fn3LPlLj4ROvGWUMSq9Hs,1,1,0,2,2,1
286,ChIJ44sHVWerLz4RrKlWdRRo4t4,1,0,0,1,0,4
287,ChIJ45Ayq-0PLz4RK8djAt2T17o,1,0,1,4,3,1
288,ChIJ45regHDtNz4RLTJF96_XutE,0,0,1,0,1,3
289,ChIJ46dlloiRNz4Rr-a18nbuU_8,0,0,0,3,1,3
290,ChIJ47BQv-LbST4RV1VwwmIA3Dc,0,5,0,1,0,3
291,ChIJ496CrJHpST4Rmba5pbnAXw0,1,0,1,3,0,2
292,ChIJ496ZEFG9Nz4RgZAfYu0HFUo,1,3,0,2,0,4
293,ChIJ49OZ7_r7ST4REpdZjMLaKLo,1,1,0,1,2,2
294,ChIJ49_71SEDLz4RzTEx6Iej7tU,0,0,1,0,1,7
295,ChIJ4QJXLlbrNz4REtdEB67y_j0,1,0,0,0,1,6
296,ChIJ4QrHl0PsNz4RcHjkvfL6Z6Q,1,1,1,0,1,2
